platform,address,zone_type,restaurant,product_name,product_price,delivery_fee,service_fee,estimated_time_min,active_promo,availability,scraped_at,source_url,search_url
rappi,"Presidente Masaryk 61, Polanco, CDMX",high,McDonald's,Big Mac,101.96,31,10,28,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Presidente Masaryk 61, Polanco, CDMX",high,McDonald's,Combo Big Mac,154.96,31,11,28,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Presidente Masaryk 61, Polanco, CDMX",high,Burger King,Whopper,114.36,31,10,28,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Presidente Masaryk 61, Polanco, CDMX",high,Burger King,Combo Whopper,167.36,31,11,28,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Presidente Masaryk 61, Polanco, CDMX",high,McDonald's,Big Mac,104.02,25,9,25,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Presidente Masaryk 61, Polanco, CDMX",high,McDonald's,Combo Big Mac,158.06,25,10,25,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Presidente Masaryk 61, Polanco, CDMX",high,Burger King,Whopper,116.63,25,9,25,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Presidente Masaryk 61, Polanco, CDMX",high,Burger King,Combo Whopper,170.67,25,10,25,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Presidente Masaryk 61, Polanco, CDMX",high,McDonald's,Big Mac,99.9,28,7,27,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Presidente Masaryk 61, Polanco, CDMX",high,McDonald's,Combo Big Mac,151.86,28,8,27,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Presidente Masaryk 61, Polanco, CDMX",high,Burger King,Whopper,112.09,28,7,27,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Presidente Masaryk 61, Polanco, CDMX",high,Burger King,Combo Whopper,164.05,28,8,27,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Moliere 222, Polanco, CDMX",high,McDonald's,Big Mac,102.96,32,10,29,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Moliere 222, Polanco, CDMX",high,McDonald's,Combo Big Mac,155.96,32,11,29,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Moliere 222, Polanco, CDMX",high,Burger King,Whopper,115.36,32,10,29,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Moliere 222, Polanco, CDMX",high,Burger King,Combo Whopper,164.36,32,11,29,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Moliere 222, Polanco, CDMX",high,McDonald's,Big Mac,105.02,26,9,26,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Moliere 222, Polanco, CDMX",high,McDonald's,Combo Big Mac,159.06,26,10,26,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Moliere 222, Polanco, CDMX",high,Burger King,Whopper,117.63,26,9,26,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Moliere 222, Polanco, CDMX",high,Burger King,Combo Whopper,167.67,26,10,26,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Moliere 222, Polanco, CDMX",high,McDonald's,Big Mac,100.9,29,7,28,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Moliere 222, Polanco, CDMX",high,McDonald's,Combo Big Mac,152.86,29,8,28,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Moliere 222, Polanco, CDMX",high,Burger King,Whopper,113.09,29,7,28,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Moliere 222, Polanco, CDMX",high,Burger King,Combo Whopper,161.05,29,8,28,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,McDonald's,Big Mac,103.96,33,10,30,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,McDonald's,Combo Big Mac,156.96,33,11,30,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,Burger King,Whopper,112.36,33,10,30,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
